"","— exclude TeX applications from the expansion list",""
";;-","—",""
";;AA","Å",""
";;Delta","∆",""
";;Downarrow","⇓",""
";;Gamma","Γ",""
";;Im","ℑ",""
";;Lambda","Λ",""
";;Leftarrow","⇐",""
";;Leftrightarrow","⇔",""
";;Omega","Ω",""
";;Par","❡",""
";;Phi","Φ",""
";;Pi","Π",""
";;Psi","Ψ",""
";;Re","ℜ",""
";;Rightarrow","⇒",""
";;Sigma","Σ",""
";;Theta","Θ",""
";;Uparrow","⇑",""
";;Updownarrow","⇕",""
";;Upsilon","Υ",""
";;Xi","Ξ",""
";;aleph","ℵ",""
";;alpha","α",""
";;amalg","⨿",""
";;angle","∠",""
";;approx","≈",""
";;ast","∗",""
";;asymp","≍",""
";;beta","β",""
";;bot","⊥",""
";;bowtie","⋈",""
";;bullet","•",""
";;cap","∩",""
";;cdot","·",""
";;chi","χ",""
";;circ","◦",""
";;clubsuit","♣",""
";;copyright","©",""
";;cup","∪",""
";;dag","†",""
";;dashv","⊣",""
";;ddag","‡",""
";;delta","δ",""
";;diamond","♦",""
";;div","÷",""
";;downarrow","↓",""
";;earth","♁",""
";;ell","ℓ",""
";;emptyset","∅",""
";;epsilon","ϵ",""
";;equiv","≡",""
";;eta","η",""
";;euro","€",""
";;exists","∃",""
";;flat","♭",""
";;forall","∀",""
";;frown","⌢",""
";;gamma","γ",""
";;geq","≥",""
";;gg","≫",""
";;hbar","ħ",""
";;heartsuit","♥",""
";;imath","ı",""
";;infty","∞",""
";;int","∫",""
";;kappa","κ",""
";;lambda","λ",""
";;langle","〈",""
";;lceil","⌈",""
";;leftarrow","←",""
";;leftharpoondown","↽",""
";;leftharpoonup","↼",""
";;leftrightarrow","↔",""
";;leq","≤",""
";;lfloor","⌊",""
";;ll","≪",""
";;member","∈",""
";;mid","|",""
";;mp","∓",""
";;mu","µ",""
";;nabla","∇",""
";;natural","♮",""
";;nearrow","↗",""
";;neg","¬",""
";;neq","≠",""
";;ni","∋",""
";;notin","∉",""
";;nparallel","∦",""
";;nu","ν",""
";;nwarrow","↖",""
";;odot","⊙",""
";;oint","∮",""
";;omega","ω",""
";;ominus","⊖",""
";;oplus","⊕",""
";;oslash","⊘",""
";;otimes","⊗",""
";;parallel","∥",""
";;partial","∂",""
";;perp","⊥",""
";;phi","φ",""
";;pi","π",""
";;pm","±",""
";;pounds","£",""
";;preceq","≼",""
";;precise","≺",""
";;prime","′",""
";;prod","∏",""
";;propto","∝",""
";;psi","ψ",""
";;rangle","〉",""
";;rceil","⌉",""
";;rfloor","⌋",""
";;rho","ρ",""
";;rightarrow","→",""
";;rightharpoondown","⇁",""
";;rightharpoonup","⇀",""
";;searrow","↘",""
";;setminus",";;",""
";;sharp","♯",""
";;sigma","σ",""
";;simeq","≃",""
";;similar","∼",""
";;smile","⌣",""
";;spadesuit","♠",""
";;sqcap","⊓",""
";;sqcup","⊔",""
";;sqrt","√",""
";;sqsubseteq","⊑",""
";;sqsupseteq","⊒",""
";;star","★",""
";;subseq","⊆",""
";;subset","⊂",""
";;succ","≻",""
";;suceq","≽",""
";;sum","∑",""
";;sun","☉",""
";;supseq","⊇",""
";;supset","⊃",""
";;surd","√",""
";;swarrow","↙",""
";;tau","τ",""
";;theta","θ",""
";;times","×",""
";;top","⊤",""
";;trdown","▽",""
";;triangle","△",""
";;trleft","▷",""
";;trright","◃",""
";;uparrow","↑",""
";;updownarrow","↕",""
";;uplus","⊎",""
";;upsilon","υ",""
";;varepsilon","ε",""
";;varphi","ϕ",""
";;varpi","ϖ",""
";;varrho","ϱ",""
";;varsigma","ς",""
";;vartheta","ϑ",""
";;vdash","⊢",""
";;vee","∨",""
";;wedge","∧",""
";;wp","℘",""
";;wr","≀",""
";;xi","ξ",""
";;yen","¥",""
";;zeta","ζ",""
