"auc","American University in Cairo","AUC"
"ays","Andrew Young School of Policy Studies","AYSPS"
"byu","Brigham Young University","BYU"
"dpmap","Department of %snippet:;pmap%","Department of PMAP"
"gsu","Georgia State University","GSU"
"icnl","International Center for Not-for-Profit Law","ICNL"
"iri","International Republican Institute","IRI"
"ned","National Endowment for Democracy","NED"
"osf","Open Society Foundations","OSF"
"pmap","Public Management and Policy","PMAP"
"ripm","Romney Institute of Public Management","RIPM"
"ripse","Romney Institute of Public Service and Ethics","RIPSE"
"sanford","Sanford School of Public Policy","Sanford"
